,,,,,,,,,,PALLET DIMENSIONS,,,,,,,
ITEM CLASS,ITEM NUMBER,,,LENGTH,WIDTH,DEPTH,DESCRIPTION,COLOR,STRENGTH,LENGTH,WIDTH,DEPTH,WEIGHT/M ,BUNDLE QTY,PALLET QTY,UNIT OF MEASURE,COST
CB,21004031,RETT Box,RETT,10,04,03,RETT Box 10 X 4 X 3,#3 White,200#,,,,212,50,2100,Each,0.461
CB,21004041,RETT Box,RETT,10,04,04,RETT Box 10 X 4 X 4,#3 White,200#,,,,270,50,1500,Each,0.677
CB,21010021,RETT Box,RETT,10,10,02,RETT Box 10 X 10 X 2,#3 White,200#,,,,350,50,1500,Each,0.670
CB,21008031,RETT Box,RETT,10,08,03,RETT Box 10-3/8 X 8-1/8 X 3-5/8,#3 White,200#,,,,663,50,1000,Each,0.886
CB,21003022,RETT Box,RETT,10,03,02,RETT Box 10-5/8 X 3-5/8 X 2-1/4,#3 White,200#,,,,190,50,2100,Each,0.487
CB,21106021,RETT Box,RETT,11,06,02,RETT Box 11 X 6-1/2 X 2-3/4,#3 White,200#,,,,310,50,1600,Each,0.575
CB,21104021,RETT Box,RETT,11,04,02,RETT Box 11-1/8 X 4-1/2 X 2-5/8,#3 White,200#,,,,250,50,1500,Each,0.762
CB,21108021,RETT Box,RETT,11,08,02,RETT Box 11-1/8 X 8-5/8 X 2-1/8,#3 White,200#,,,,340,50,1200,Each,0.737
CB,21108011,RETT Box,RETT,11,08,01,RETT Box 11-1/4 X 8-3/4 X 1,#3 White,200#,,,,260,50,1500,Each,0.469
CB,21108023,RETT Box,RETT,11,08,02,RETT Box 11-1/4 X 8-3/4 X 2-1/8,#3 White,200#,,,,360,50,1200,Each,0.564
CB,21108031,RETT Box,RETT,11,08,03,RETT Box 11-1/4 X 8-3/4 X 3,#3 White,200#,,,,400,50,1050,Each,0.593
CB,21108041,RETT Box,RETT,11,08,04,RETT Box 11-1/4 X 8-3/4 X 4,#3 White,200#,,,,480,50,800,Each,0.848
CB,21110021,RETT Box,RETT,11,10,02,RETT Box 11-3/4 X 10-3/4 X 2-1/4,#3 White,200#,,,,460,50,1200,Each,0.683
CB,21203031,RETT Box,RETT,12,03,03,RETT Box 12 X 3 X 3,#3 White,200#,,,,210,50,1500,Each,0.814
